overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
11,10,Maintain AI Infrastructure Sovereignty,Wahba Institute for Strategic Competition,Think Tank,7.175000000000001,8.0,7.0,6.5,7.0,"Focuses on domestic AI infrastructure sovereignty and public-private partnerships, a core IAPS concern. Specific mechanisms for compute and data access. Politically viable and addresses a real gap.",863
12,11,Prioritize Incentives for AI Chips Manufacturing and Design,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,"Prioritizes domestic AI chip manufacturing and design, directly supporting IAPS's compute governance and national security priorities. Specific incentives and policy mechanisms.",438
13,13,Codify the National AI Research Resource,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,Codifying NAIRR advances IAPS's compute governance and research access priorities. Specific legislative recommendation with bipartisan support.,1061
14,14,AI-Driven Critical Infrastructure Protection,Alvarez & Marshall Federal LLC,Industry (Other),6.925,7.5,7.0,6.5,6.5,"AI-driven critical infrastructure protection is highly relevant to IAPS's national security focus. Specific recommendations for anomaly detection, predictive maintenance, and autonomous restoration. Implementation is complex but feasible.",844
15,15,Modernize Department of Defense AI Policies,Wahba Institute for Strategic Competition,Think Tank,6.925,7.5,7.0,6.5,6.5,"Modernizing DoD AI policies for human oversight and escalation control aligns with IAPS's national security and governance priorities. Specific recommendations for modeling, simulation, and oversight.",475
16,16,Promote open AI models,Center for Security and Emerging Technology,Think Tank,6.8,7.5,6.5,6.5,6.5,"Supports open AI models with clear risk thresholds, balancing innovation and security. Aligns with IAPS's nuanced approach to open/closed models and dual-use risk.",657
17,17,Invest in AI Hardware Development,"CGI Federal, Inc.",Industry (Other),6.8,7.5,6.5,6.5,6.5,"Investing in AI hardware and chip manufacturing is core to IAPS's compute governance and national security priorities. Specific mechanisms (consortium, incentives) are actionable.",505
18,18,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),6.8,7.5,6.5,6.5,6.5,National AI compute infrastructure proposal is comprehensive and directly aligned with IAPS's strategic priorities. Implementation complexity is high but mechanisms are concrete.,716
19,20,Data-Sharing Standards for AI in Healthcare,Federation of American Scientists,Think Tank,6.675,7.0,7.0,6.5,6.0,"Data-sharing standards for AI in healthcare are actionable, evidence-based, and leverage NIST. Aligns with IAPS's standards and governance focus.",278
20,19,Adopt balanced export control policies,Google,Frontier Developer,6.6499999999999995,7.0,6.5,6.5,6.5,"Balanced export control policies are a core IAPS concern. While the proposal is somewhat self-serving, it acknowledges national security and economic competitiveness tradeoffs and calls for detailed analysis.",326
21,21,Engage in international AI governance efforts,Microsoft,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Engagement in international AI governance (e.g., G7 Hiroshima Process) is directly relevant to IAPS's international coordination focus. Actionable, but somewhat generic.",359
22,22,Promote low-carbon power procurement for data centers,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,"Promoting low-carbon power procurement for data centers is specific, actionable, and supports AI infrastructure resilience—a secondary IAPS concern.",551
23,23,Enable AI to bolster national security and defense,Amazon,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Enabling AI for national security and defense is highly aligned with IAPS priorities, but the proposal is partly self-serving (Amazon cloud). Still, it is specific and actionable.",412
24,24,Attract and retain foreign-born AI talent,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,Attracting and retaining foreign-born AI talent is critical for US competitiveness and aligns with IAPS's strategic focus. Specific mechanism (Schedule A update) is actionable.,495
25,25,Advance AI applications under DOE's broad mission space,Bipartisan Policy Center,Think Tank,6.3,7.0,6.0,6.0,6.0,Advancing AI applications under DOE's mission is aligned with IAPS's focus on public-sector AI and national security. Somewhat broad but leverages DOE's unique capabilities.,1047
26,26,Promote AI Alignment Research,Wahba Institute for Strategic Competition,Think Tank,6.15,6.5,6.0,6.0,6.0,"Promoting AI alignment research is relevant to IAPS's safety focus. Somewhat generic, but includes specific open-source safety tool initiatives.",324
27,27,Create an AI scholarship-for-service program,Center for Security and Emerging Technology,Think Tank,6.15,6.5,6.0,6.0,6.0,"AI scholarship-for-service program is actionable and supports public-sector AI expertise, a secondary IAPS concern. Specific mechanism (NSF, CyberCorps) is credible.",434
28,28,Expand Public Sector AI Expertise,INCOMPAS,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding public-sector AI expertise is important for governance and implementation. Specific programs cited, but overall approach is somewhat generic.",381
29,29,Expand Access to Federal Data,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding access to federal data supports AI innovation and aligns with IAPS's data governance focus. Somewhat generic, but actionable.",677
30,30,Unlock energy capacity for AI infrastructure,Amazon,Frontier Developer,6.15,6.5,6.0,6.0,6.0,Unlocking energy capacity for AI infrastructure is actionable and addresses a real constraint for AI competitiveness. Somewhat self-serving but specific.,994
31,31,Strengthen Electrical Grid and Streamline Energy Infrastructure Permitting,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Strengthening the electrical grid and streamlining permitting is actionable and supports AI infrastructure. Somewhat generic, but addresses a real bottleneck.",1026
32,34,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,6.15,6.5,6.0,6.0,6.0,DOE AI and Computing Lab proposal is actionable and leverages DOE's unique strengths. Somewhat duplicative of other proposals but still relevant.,1027
33,32,Expand Global AI Education & Workforce Training,Wahba Institute for Strategic Competition,Think Tank,6.025,6.5,6.0,5.5,6.0,"Expanding global AI education and workforce training is relevant to US leadership and IAPS's international focus. Somewhat broad, but actionable.",999
34,33,Support public-private partnerships for AI education,Microsoft,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Supporting public-private partnerships for AI education is actionable, but broad and somewhat self-serving. Aligns with workforce development, a secondary IAPS concern.",704
35,35,Establish a National AI Research Institute,"CGI Federal, Inc.",Industry (Other),5.875,6.0,6.0,5.5,6.0,National AI Research Institute proposal is actionable and supports US AI leadership. Somewhat generic and risks duplicating existing efforts.,828
36,36,Incentivize Domestic Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.875,6.0,6.0,5.5,6.0,Incentivizing domestic manufacturing is actionable and supports US competitiveness. Somewhat generic and lacks detail on implementation.,961
37,37,Strategic AI Economic Zones,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Strategic AI Economic Zones are actionable and support national security, but implementation is complex and risks being a corporate subsidy.",506
38,39,Mission-Critical AI Applications,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Mission-critical AI applications are actionable and measurable, but the proposal is broad and risks being a tech vendor wish list.",1024
39,38,Next-Generation Computing Research,Alvarez & Marshall Federal LLC,Industry (Other),5.65,6.0,5.5,5.5,5.5,Next-generation computing research is relevant to IAPS priorities but is broad and risks being a moonshot with uncertain ROI.,659
40,40,Create a National Data Trust Framework,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,National data trust framework is relevant to IAPS's data governance focus. Somewhat generic and lacks detail on enforcement.,833
41,41,Promote the Adoption of Privacy-Preserving Techniques,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,Promoting privacy-preserving techniques is relevant but broad and lacks specificity on implementation or enforcement.,874
42,42,Support Data-Centric AI Research,HPE,Industry (Other),5.375,5.5,5.5,5.0,5.5,Data-centric AI research is a valid focus but is more academic and lacks concrete policy mechanisms.,859
43,43,Leverage existing risk-based cybersecurity standards,Microsoft,Frontier Developer,5.375,5.5,5.5,5.0,5.5,"Leveraging existing risk-based cybersecurity standards is sensible, but the proposal is generic and risks being a deregulatory wish list.",366
44,44,Streamline AI cybersecurity regulations,Microsoft,Frontier Developer,5.375,5.5,5.5,5.0,5.5,Streamlining AI cybersecurity regulation is relevant but lacks detail and risks being a corporate deregulatory push.,218
45,45,Spearhead Public/Private Collaboration,INCOMPAS,Industry Association,5.25,5.5,5.0,5.0,5.5,Spearheading public/private collaboration is a vague aspiration with little concrete policy content.,953
46,46,Support development of data annotation standards,Microsoft,Frontier Developer,5.1,5.0,5.0,5.0,5.5,Data annotation standards are relevant but the proposal is generic and self-serving (Microsoft).,69
47,47,Establish Data and Model Governance Framework,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Data and model governance framework is a generic aspiration with little detail on enforcement or implementation.,387
48,48,Adopt Flexible AI Regulations,HPE,Industry (Other),4.875,5.0,5.0,4.5,5.0,Flexible AI regulations is a generic industry wish list with little actionable content.,263
49,49,Develop a federal privacy framework tailored to AI systems,Bipartisan Policy Center,Think Tank,4.875,5.0,5.0,4.5,5.0,"Federal privacy framework tailored to AI is a valid goal but is broad, lacks specifics, and is politically challenging.",77
50,50,Prioritize AI for Cybersecurity,Information Technology Industry Council,Industry Association,4.875,5.0,5.0,4.5,5.0,Prioritizing AI for cybersecurity is a broad aspiration with little concrete policy content.,384
51,51,Encourage Diverse AI Technology Landscape,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Encouraging a diverse AI technology landscape is a generic industry wish list with little actionable content.,241
52,52,Create an Enabling Environment for AI Adoption,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Creating an enabling environment for AI adoption is broad and lacks concrete mechanisms.,248
53,53,Support Nuclear Energy Development,INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Support for nuclear energy is tangential to IAPS's AI governance priorities and is a generic industry push.,203
54,54,Negotiate International Trade Agreements for AI,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,International trade agreements for AI are broad and lack actionable detail. Mostly an industry wish list.,816
55,55,Create a National Repository for Open-Source AI Software and Datasets,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,"National repository for open-source AI is broad, lacks detail, and risks duplicating existing efforts.",112
56,56,Invest in Protection Against AI Model Tampering,HPE,Industry (Other),4.6,4.5,4.5,4.5,5.0,Investing in protection against AI model tampering is relevant but lacks detail and is mostly an industry ask.,79
57,57,Develop and Enforce Data Privacy and Security Regulations,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,Developing and enforcing data privacy and security regulations is broad and lacks actionable detail.,161
58,58,Invest in Power and Energy Management Software,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in power and energy management software is a narrow, self-serving industry ask.",268
59,59,Invest in Modular Data Centers,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in modular data centers is a narrow, self-serving industry ask.",375
60,60,Develop Models with Intuitive Explanations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Developing models with intuitive explanations is vague, lacks implementation detail, and is mostly academic.",5
61,61,Foster Cross-Sector Partnerships for Explainability Research,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Fostering cross-sector partnerships for explainability research is a vague academic aspiration.,238
62,62,Promote International AI Research Collaborations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Promoting international AI research collaborations is a vague aspiration with no actionable detail.,465
63,63,Strengthen Cultural & Linguistic AI Applications,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening cultural and linguistic AI applications is tangential to IAPS's priorities and is vague.,559
64,64,Promote AI Environmental Sustainability,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,"AI environmental sustainability is a generic, non-actionable aspiration.",428
65,65,Promote International Collaboration,INCOMPAS,Industry Association,3.5999999999999996,3.5,3.5,3.5,4.0,"Promoting international collaboration is a vague, non-actionable aspiration.",464
66,66,Prioritize affordability and reliability in AI energy infrastructure development,Bipartisan Policy Center,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Prioritizing affordability and reliability in AI energy infrastructure is vague and lacks actionable content.,56
67,67,Strengthen and Sustain Manufacturing USA Institutes,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening Manufacturing USA Institutes is tangential to IAPS's AI governance focus.,214
68,68,Leverage Manufacturing Extension Partnerships for SMEs,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Leveraging Manufacturing Extension Partnerships for SMEs is tangential and lacks actionable AI governance content.,489
69,69,Provide Training and Reskilling Opportunities for Workers,"CGI Federal, Inc.",Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,"Training and reskilling workers is a generic workforce development proposal, not AI governance.",891
70,70,Target federal apprenticeships for AI infrastructure,Microsoft,Frontier Developer,3.1,3.0,3.0,3.0,3.5,Targeting federal apprenticeships for AI infrastructure is a narrow workforce development proposal with little AI governance relevance.,226
71,71,AI-Ready Workforce Development Strategy,OpenAI,Frontier Developer,3.1,3.0,3.0,3.0,3.5,"AI-ready workforce development strategy is a generic workforce proposal, not AI governance.",639
72,72,Create AI Manufacturing Service Providers Ecosystem,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,AI manufacturing service providers ecosystem is a narrow industry proposal with little AI governance content.,673
73,73,Develop AI-Enhanced Material Discovery and Testing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,"AI-enhanced material discovery and testing is a narrow R&D proposal, not AI governance.",966
74,74,Foster Public-Private Partnerships for AI Research,HPE,Industry (Other),2.1,2.0,2.0,2.0,2.5,"Fostering public-private partnerships for AI research is a vague, generic aspiration with no actionable content.",640
75,75,Strengthen Enforcement of IP Protections for AI,"CGI Federal, Inc.",Industry (Other),1.0,1.0,1.0,1.0,1.0,Strengthening enforcement of IP protections for AI is a pure corporate lobbying proposal with no relevance to IAPS's strategic priorities or AI governance.,81
