overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
11,2,AI Model Integrity Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.7,9.5,9.0,8.0,8.0,"Highly aligned with IAPS focus on AI model security and standards. Proposes actionable steps (model registry, cryptographic verification, NIST leadership). Evidence-based, references real security risks. Implementation is feasible via NIST and regulatory agencies.",2077
12,3,Improve security of U.S. frontier AI laboratories,Anthropic,Frontier Developer,8.7,9.5,9.0,8.0,8.0,"Addresses a real and underappreciated threat: theft of frontier AI models undermining export controls. Specific recommendations for physical and cyber security at AI labs, with clear implementation path and strong alignment to IAPS priorities.",4739
13,1,Identify Critical AI Technologies for Export Control,"Advanced Robotics for Manufacturing
  Institute",Think Tank,8.675,9.5,8.5,8.0,8.5,"Directly advances IAPS priorities on export controls and national security. Proposes concrete identification and regulation of critical AI technologies, with clear agency action and precedent. Highly actionable and politically feasible.",2005
14,4,Voluntary AI Incident Reporting Hub,Federation of American Scientists,Think Tank,8.549999999999999,9.0,8.5,8.5,8.0,"Voluntary AI incident reporting hub modeled on successful systems (FAA, FDA). Specific, actionable, and addresses AI risk monitoring. Strong evidence base and feasible under NIST or similar agencies.",2985
15,3,Develop and adopt AI risk standards,Center for Security and Emerging Technology,Think Tank,8.475,9.5,8.5,8.0,7.5,"Specific, actionable standards for AI risk mitigation, with clear implementation via AISI and federal procurement. Strong alignment with IAPS's standards/governance focus. Evidence-based and feasible.",5032
16,3,Implement Risk-Based AI Export Controls,Information Technology Industry Council,Industry Association,8.424999999999999,9.0,8.5,8.0,8.0,"Concrete, risk-based export control proposal, highly relevant to IAPS compute governance and national security. Specific focus on model weights and compute power, with awareness of international competitiveness.",1204
17,5,Create a NIST Foundation to Support AI Mandate,Federation of American Scientists,Think Tank,8.424999999999999,9.0,8.5,8.0,8.0,"Creates a NIST Foundation to support AI mandate, modeled on DOE FESI. Directly supports IAPS-aligned AI governance and safety infrastructure. Bipartisan support and legislative precedent.",3615
18,2,Establish Government Authority to Temporarily Suspend Unsafe AI Systems,Wahba Institute for Strategic Competition,Think Tank,8.424999999999999,9.0,8.5,8.0,8.0,"Concrete, actionable mechanism for government intervention in unsafe AI systems, directly aligned with IAPS's focus on AI safety governance. Cites regulatory models (NHTSA recalls), considers real-world constraints.",2219
19,4,Track technology transfers to China,Center for Security and Emerging Technology,Think Tank,8.325,9.0,8.5,8.0,7.5,"Directly targets tech transfer to China, a core IAPS concern. Proposes a new office/task force with practical recommendations—actionable and fills a real gap.",1989
20,3,AI Model Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.325,9.0,8.5,8.0,7.5,"Strong alignment with IAPS's AI security and governance priorities. Proposes specific standards, national lab, and review processes. Implementation path is clear (NIST, certification). Evidence-based, addresses real vulnerabilities.",2850
21,4,Modified Export Control Strategy for Democratic AI,OpenAI,Frontier Developer,8.325,9.0,8.5,8.0,7.5,"Proposes a nuanced export control strategy that advances U.S. AI leadership and aligns with IAPS's international governance focus. Specific, actionable, and considers global political realities.",4205
22,5,Assess Foreign AI Models for Security Risks,Information Technology Industry Council,Industry Association,8.325,9.0,8.5,8.0,7.5,"Concrete, actionable recommendation for CISA and the AI Safety Institute to assess foreign AI models for security risks. Directly supports IAPS's dual-use risk and national security priorities.",4533
23,1,Bio Capability Evaluations Program for AI-Driven Biological Threats,Federation of American Scientists,Think Tank,8.299999999999999,9.0,8.5,7.5,8.0,"Highly specific, actionable recommendation to establish a bio capability evaluations program for AI-driven biological threats. Directly addresses dual-use AI risks and national security, a core IAPS concern. Cites existing agency work and proposes interagency coordination with funding. Politically viable and fills a real policy gap.",2
24,5,Establish industry-specific AI incident reporting,Center for Security and Emerging Technology,Think Tank,8.275,8.5,8.5,8.0,8.0,"Concrete, sector-specific incident reporting for AI, with clear agency roles and investigative authority. Strong alignment with IAPS focus on governance mechanisms and risk management.",1502
25,4,Define capabilities of concern for biosecurity,Center for Security and Emerging Technology,Think Tank,8.225,9.0,8.5,8.0,7.0,"Concrete, actionable recommendation to define 'capabilities of concern' for biosecurity, with reference to existing frameworks. Strong alignment with IAPS's risk governance and dual-use concerns.",4935
26,2,Adversarial AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),8.2,9.0,8.0,8.0,7.5,"Concrete proposal for adversarial AI research, national red teaming, and standardized testing. Directly advances IAPS priorities on AI security and governance. Specifies agencies, funding, and implementation. Supported by real-world need and feasible within current structures.",439
27,6,Clarify policy scope for biological AI models,Center for Security and Emerging Technology,Think Tank,8.2,9.0,8.0,8.0,7.5,"Requires policy clarity for chem-bio AI models, addressing a real regulatory gap. Highly specific and actionable, with direct implications for export controls and national security.",3156
28,7,Ensure Mandatory Shutdown Mechanisms in AI Systems,Wahba Institute for Strategic Competition,Think Tank,8.2,9.0,8.0,8.0,7.5,"Mandatory shutdown mechanisms for high-risk AI systems (autonomous weapons, infrastructure). Directly advances IAPS safety and national security priorities. Technically feasible, clear implementation path.",3515
29,8,Deploy AI for critical infrastructure security and threat detection,Bipartisan Policy Center,Think Tank,8.2,9.0,8.0,8.0,7.5,"Deploys AI for critical infrastructure security, instructing DOE/DHS to build anomaly detection tools. Specific, actionable, and directly supports IAPS national security and resilience goals.",3529
30,4,AI Supply Chain Security,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Directly addresses AI supply chain security, a key IAPS concern. Proposes concrete frameworks (lifecycle, provenance tracking, trusted vendor program). CISA/NIST involvement is realistic. Evidence-based, addresses real-world threats.",2282
31,5,Federal AI Compute Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Concrete, actionable proposal for federated AI compute infrastructure, directly advancing IAPS compute governance priorities. Clear implementation via NSF/DOE/DoD. Evidence-based, addresses national priorities.",2421
32,3,AI Model Integrity Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Specific, technical proposal for AI model integrity, including standards, cryptographic verification, and a national registry. Directly advances IAPS's interest in AI assurance and governance frameworks.",2077
33,3,Implement AI testing requirements for government procurement,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.5,7.5,7.5,"Specific, actionable recommendation for AI testing in government procurement. Aligns with IAPS focus on standards, risk evaluation, and governance. Feasible, leverages procurement authority, and addresses a real oversight gap.",369
34,6,Deploy appropriate model safeguards for biosecurity,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Proposes a suite of model safeguards for biosecurity, referencing CSET research and specific mechanisms. Actionable and directly addresses dual-use AI risk.",1636
35,6,Partner with companies to share threat intelligence,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Specific, actionable proposal for government-company threat intelligence sharing, including clear agency roles. Strong evidence base and high relevance to IAPS's focus on AI security and information sharing.",4280
36,9,Standardize federal AI procurement processes and guidelines,Bipartisan Policy Center,Think Tank,8.025,8.5,8.0,7.5,8.0,"Standardizes federal AI procurement with clear guidelines, benchmarks, and accountability. Directly addresses a known implementation barrier and aligns with IAPS governance focus.",3676
37,7,Cooperate with allies on export control strategy,Center for Security and Emerging Technology,Think Tank,7.95,8.5,8.0,8.0,7.0,"Directly advances IAPS's international coordination and export control priorities. Specific recommendations (joint strategy, communication, avoid FDPR overuse). Evidence-based, realistic about multilateral constraints.",2754
38,5,Critical Materials Supply Chain Security,Alvarez & Marshall Federal LLC,Industry (Other),7.95,8.5,8.0,8.0,7.0,"Addresses critical AI hardware supply chain security with specific mechanisms (national strategy, reserve, international partnerships). Strong national security and governance alignment.",5046
39,7,Identify Critical AI Technologies for Export Control,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.925,8.5,8.0,7.5,7.5,"Directly addresses export controls and national security, with a concrete call to identify critical AI technologies. Implementation path is clear and highly relevant.",2005
40,10,Institute clear documentation and transparency requirements for government AI,Bipartisan Policy Center,Think Tank,7.925,8.5,8.0,7.5,7.5,"Requires clear documentation and transparency for government AI, especially in high-impact applications. Actionable, measurable, and directly advances IAPS transparency and governance priorities.",3768
41,4,AI Compute Access Program,Alvarez & Marshall Federal LLC,Industry (Other),7.925,8.5,8.0,7.5,7.5,"Concrete compute governance proposal: AI compute credits, federal resource allocation, procurement reform. Directly addresses IAPS's compute policy focus, with clear implementation path.",2238
42,7,Fund research on AI evaluation science,Center for Security and Emerging Technology,Think Tank,7.825,8.5,8.0,7.5,7.0,"Concrete recommendation for federal research funding into AI evaluation science, especially for agentic systems. Directly advances IAPS's research priorities with clear implementation path.",4141
43,8,National AI Cyber Shield,Alvarez & Marshall Federal LLC,Industry (Other),7.825,8.5,8.0,7.5,7.0,"Specific, actionable plan for a National AI Cyber Shield, including agency leadership, operational details, and incentives. Strong alignment with IAPS's national security and AI governance focus.",3992
44,4,Lead International AI Safety Institute Network,Information Technology Industry Council,Industry Association,7.824999999999999,9.0,7.5,7.0,7.5,Directly targets IAPS priority of international AI safety institute coordination. Specific recommendation to retain US leadership in the global AI safety network. Actionable and timely given current international efforts.,538
45,8,Establish whistleblower protections for AI company employees,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Whistleblower protections for AI company employees is actionable, addresses real gaps in governance, and supports accountability in high-risk AI development.",1602
46,9,Empower OSD to set AI security standards for military,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Empowering OSD to set AI security standards is a concrete, actionable step to reduce duplication and improve security. Directly relevant to IAPS's focus on national security AI governance.",1269
47,11,Training Data Security,Alvarez & Marshall Federal LLC,Industry (Other),7.775,8.0,8.0,7.5,7.5,"Training data security standards (NIST-led) with specific controls for poisoning, diversity, and sharing. Concrete, actionable, and addresses a real risk area for AI safety.",3374
48,5,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,7.7,8.5,7.5,7.5,7.0,"Proposes a dedicated AI and Computing Lab at DOE, advancing IAPS's focus on compute governance and national security. Clear implementation path, leverages existing DOE strengths, and addresses strategic needs.",1027
49,6,AI Compute Access Program,Alvarez & Marshall Federal LLC,Industry (Other),7.7,8.5,8.0,7.0,7.0,"Democratizing compute access is a core IAPS concern. Proposes specific mechanisms (credit system, merit-based applications, public-private partnerships). Implementation path is clear (NSF). Evidence-based, addresses real gaps.",2238
50,8,Calibrate AI Export Controls,Wahba Institute for Strategic Competition,Think Tank,7.7,8.5,7.5,7.5,7.0,"Addresses IAPS's focus on calibrated export controls and international strategy. Proposes balancing security and competitiveness, with concrete mechanisms. Evidence-based, politically realistic.",2763
51,12,Real-World AI Testing Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.675000000000001,8.0,8.0,7.5,7.0,"Establishes real-world AI testing frameworks with NIST leadership, clear criteria, and staged deployment. Highly actionable and aligned with IAPS focus on robust evaluation.",3631
52,9,Safe Harbor for AI Researchers,Federation of American Scientists,Think Tank,7.675000000000001,8.0,8.0,7.5,7.0,Addresses a real gap in legal protection for independent AI safety research. Specific recommendations for OMB guidance and procurement requirements. Strong evidence base and actionable within current frameworks.,4630
53,10,Implement Strategic Export Control Measures for AI,"CGI Federal, Inc.",Industry (Other),7.65,8.0,8.0,7.0,7.5,"Robust export licensing system for AI tech is highly aligned with IAPS's export control priorities. Proposes monitoring and enforcement mechanisms, though details could be stronger.",1905
54,11,Build an integrated biosecurity ecosystem,Center for Security and Emerging Technology,Think Tank,7.65,8.0,7.5,7.5,7.5,Integrating AI into biosecurity ecosystem is evidence-based and recognizes real-world limitations of AI-only controls. Actionable and fills a governance gap.,1526
55,6,Implement Time-Based Export Controls for AI Technologies,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.6,8.5,7.5,7.5,6.5,"Specific export control mechanism (time-based exclusivity) for dual-use AI. Strong IAPS alignment, though implementation may face industry pushback.",4983
56,6,Expand the National AI Research Resource,Federation of American Scientists,Think Tank,7.575,8.5,7.5,7.0,7.0,"Expanding NAIRR is highly aligned with IAPS's compute access and research resource priorities. Concrete, actionable, and addresses a documented gap. Politically feasible with bipartisan support.",378
57,10,Strengthen the Role of the US AI Safety Institute,Wahba Institute for Strategic Competition,Think Tank,7.575,8.5,7.5,7.0,7.0,"Strengthening AISI is directly in line with IAPS's AI safety institute priorities. Proposes independent risk assessments, public-private coordination. Implementation is feasible via NIST.",2385
58,5,Establish AI procurement and regulatory guidelines,NSF Center of Excellence,Academia,7.575,8.5,7.5,7.0,7.0,"Proposes actionable procurement/regulatory guidelines, export controls, and international collaboration. Strong alignment with IAPS priorities, though some elements are broad.",2213
59,6,Influence International AI Standards,Wahba Institute for Strategic Competition,Think Tank,7.575,8.5,7.0,7.5,7.0,"Focuses on US leadership in international AI standards and export controls. Actionable, with clear strategic rationale and evidence of global competition.",2229
60,12,Expand open-source intelligence gathering on AI,Center for Security and Emerging Technology,Think Tank,7.550000000000001,8.0,7.5,7.5,7.0,"Expanding OSINT on AI is a concrete, underdeveloped area in government. Actionable, fills a real intelligence gap, and supports IAPS's evidence-based approach.",1639
61,13,Fortify AI Trust and Security for National Security,HPE,Industry (Other),7.550000000000001,8.0,7.5,7.5,7.0,"Recommends rigorous threat testing and red-teaming for dual-use AI, leveraging USG expertise. Directly supports IAPS national security and AI safety priorities.",3453
62,10,Empower NIST to develop voluntary AI standards and certification programs,Bipartisan Policy Center,Think Tank,7.550000000000001,8.0,8.0,7.0,7.0,"Empowering NIST to develop voluntary AI standards and certification is specific, actionable, and aligns with IAPS's focus on standards and governance. Realistic within current agency authorities.",4252
63,7,Establish comprehensive AI regulations and frameworks,"Center for Intelligence, Research, Analysis, and Training (CIRAT)/Mercyhurst University",Academia,7.550000000000001,8.0,7.5,7.5,7.0,"Comprehensive regulatory framework modeled on the EU AI Act, with risk-based classification, compliance, and enforcement. Concrete, though some adaptation for US context needed.",2099
64,7,Attract and retain AI entrepreneurs and AI researchers,Center for Security and Emerging Technology,Think Tank,7.525,8.0,7.5,7.0,7.5,"Concrete immigration policy changes to attract/retain AI talent. Well-specified, evidence-based, and politically feasible within executive authority.",4926
65,7,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),7.45,8.5,7.0,7.0,7.0,"Comprehensive proposal for domestic AI compute infrastructure, including funding, tax incentives, and strategic zones. Directly advances IAPS compute governance priorities. Specific mechanisms, though implementation complexity is high.",716
66,13,National AI Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Comprehensive AI security framework for critical infrastructure is highly aligned with IAPS priorities. Concrete phased implementation, though some elements may face political resistance.",1755
67,14,Define Global AI Safety Standards,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Defines US-led global AI safety standards, leveraging existing initiatives (AISIC, INASI). Actionable, aligns with IAPS's international governance focus.",1465
68,9,Develop a Balanced Approach to Export Controls,"CGI Federal, Inc.",Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Export controls are a core IAPS concern. Proposes balanced, actionable approach with international collaboration. Somewhat general but implementation path is plausible.",2627
69,11,Establish Government Authority to Temporarily Suspend Unsafe AI Systems,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Concrete, actionable mechanism for government intervention in unsafe AI systems. Directly addresses IAPS's national security and governance priorities. Implementation is plausible (modeled on NHTSA recalls).",2219
70,14,Establish a National AI Cybersecurity Task Force,"CGI Federal, Inc.",Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"National AI cybersecurity task force with cross-sector collaboration. Actionable, addresses real threats, and aligns with IAPS security focus.",3612
71,15,Maintain NIST AI Safety Institute Functions,Information Technology Industry Council,Industry Association,7.425000000000001,8.0,7.5,7.0,7.0,"Maintains NIST AI Safety Institute functions, focusing on dual-use and national security risks. Actionable, evidence-based, and directly aligned with IAPS priorities.",3323
72,16,Establish public-private test beds for AI-driven electric grid solutions,Bipartisan Policy Center,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Establishes public-private test beds for AI-driven grid solutions (DOE/industry), de-risking deployment. Specific, actionable, and addresses critical infrastructure resilience.",3637
73,17,Secure Data for AI Research,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Secures data for AI research, restricts strategic datasets from adversaries. Actionable, evidence-based, and directly targets IAPS compute/data governance priorities.",3159
74,11,Share AI intelligence with allies,Center for Security and Emerging Technology,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,Concrete recommendation for allied intelligence sharing on AI capabilities. Directly supports IAPS's international governance and information sharing priorities.,4467
75,9,Encourage secure deployment of open-source AI over blanket bans,"R Street Institute's Cybersecurity and
  Emerging Threats Team",AI Company,7.425000000000001,8.0,7.5,7.0,7.0,"Concrete, evidence-based recommendations for secure open-source AI deployment, referencing real incidents. Balances innovation and risk, aligned with IAPS's nuanced approach.",2085
76,10,Delegate sector-specific AI regulation to appropriate federal agencies,Healthcare Trust Institute,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Delegates sector-specific AI regulation to agencies with subject-matter expertise. Practical, implementable, and avoids one-size-fits-all approaches.",2169
77,8,Encourage risk-based governance practices in the private sector,Amazon,Frontier Developer,7.300000000000001,8.0,7.0,7.0,7.0,"Encourages risk-based governance and public-private collaboration for advanced AI model evaluation. Aligns with IAPS's focus on dual-use risk and governance. Specific, actionable, and feasible.",400
78,8,Accelerate Federal Government AI Adoption,OpenAI,Frontier Developer,7.300000000000001,8.0,7.0,7.0,7.0,Addresses government AI adoption barriers with specific regulatory/process reforms. Moderate IAPS alignment (governance/implementation focus).,4982
79,8,Foster dynamic and competitive AI markets,Center for Security and Emerging Technology,Think Tank,7.300000000000001,8.0,7.0,7.0,7.0,"Addresses market concentration and competition, a real gap in US AI policy. Proposes lowering barriers for new entrants, which is actionable and strategically important.",2142
80,12,Develop standardized metrics for data centers,Bipartisan Policy Center,Think Tank,7.275,7.5,7.5,7.0,7.0,"Standardized metrics for data center efficiency are actionable, measurable, and support IAPS's compute governance focus. Leverages NIST and DOE, with clear implementation path.",54
81,12,Create standard pathways to contest AI results,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,"Specific, actionable proposal for contesting AI decisions, which supports AI governance and accountability. Implementation path is plausible, evidence-based (citizen reporting as error detection).",2017
82,13,Synchronize baseline AI standards across federal agencies,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,Synchronizing AI standards across agencies is highly actionable and addresses real regulatory fragmentation. Directly advances IAPS's governance and standards priorities.,2493
83,18,Cut red tape and make the immigration process more efficient,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,"Streamlines immigration for AI talent via Schedule A and special handling. Specific, actionable, and addresses real bottlenecks for U.S. AI competitiveness.",3318
84,12,Improve AI Security Techniques,Information Technology Industry Council,Industry Association,7.275,7.5,7.5,7.0,7.0,"Specific recommendations for secure-by-design AI, cryptography, and threat detection. While somewhat industry-driven, aligns with IAPS's AI security priorities and is actionable.",3847
85,13,Streamline AI Procurement for Government Use,Federation of American Scientists,Think Tank,7.275,7.5,7.5,7.0,7.0,"Concrete, actionable recommendation for a GSA-led digital platform to streamline AI procurement. Addresses real government implementation gap and supports IAPS's governance focus.",4707
86,9,Enhance AI Model Security & Oversight,Wahba Institute for Strategic Competition,Think Tank,7.2,8.0,7.0,7.0,6.5,"Addresses open/closed model security, proposes concrete safeguards and restrictions for national security. Highly relevant to IAPS's dual-use and governance focus. Somewhat less clear on implementation, but strong alignment.",889
87,14,Sovereign AI Model Development,Alvarez & Marshall Federal LLC,Industry (Other),7.2,8.0,7.0,7.0,6.5,"Sovereign AI model development is highly aligned with IAPS's national security and governance priorities. Proposes specific mechanisms (consortium, secure testing). Implementation is plausible but requires coordination.",2578
88,10,Maintain AI Infrastructure Sovereignty,Wahba Institute for Strategic Competition,Think Tank,7.175000000000001,8.0,7.0,6.5,7.0,"Focuses on domestic AI infrastructure sovereignty and public-private partnerships, a core IAPS concern. Specific mechanisms for compute and data access. Politically viable and addresses a real gap.",863
89,11,Prioritize Incentives for AI Chips Manufacturing and Design,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,"Prioritizes domestic AI chip manufacturing and design, directly supporting IAPS's compute governance and national security priorities. Specific incentives and policy mechanisms.",438
90,13,Codify the National AI Research Resource,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,Codifying NAIRR advances IAPS's compute governance and research access priorities. Specific legislative recommendation with bipartisan support.,1061
91,15,Incentivize multiple approaches to frontier AI research,Center for Security and Emerging Technology,Think Tank,7.15,7.5,7.0,7.0,7.0,"Incentivizing alternative approaches to frontier AI research is specific, evidence-based, and addresses US-China competition. Implementation path is plausible.",1355
92,16,Federal AI Center of Excellence for State and Local Governments,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"Federal AI Center of Excellence for SLTT governments is actionable, addresses a real gap in AI governance capacity, and is politically feasible.",1070
93,19,AI Corps Pilot at HHS,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"AI Corps pilot at HHS, modeled on DHS precedent, embeds technical talent to accelerate responsible AI. Actionable, measurable, and scalable.",3749
94,20,Promote AI research and development through public sector funding,Center for Security and Emerging Technology,Think Tank,7.15,7.5,7.0,7.0,7.0,"Sustained public sector AI R&D funding, including open data and metrics. Actionable and directly supports IAPS research and governance priorities.",3427
95,21,Establish a Four-Pillar R&D Program,HPE,Industry (Other),7.15,7.5,7.0,7.0,7.0,"Four-pillar R&D program (data, compute, models, application) for national security/science. Specific, actionable, and aligned with IAPS research focus.",3293
96,14,Catalyze Federal Data Sharing through Privacy Enhancing Technologies,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"Specific proposal for PETs adoption in federal data sharing, with clear agency roles and reporting mechanisms. Supports IAPS's interest in secure data governance.",3893
97,9,Increase researcher access to DOE's AI facilities,Bipartisan Policy Center,Think Tank,7.15,7.5,7.0,7.0,7.0,"Expanding researcher access to DOE/NSF AI facilities is concrete, actionable, and evidence-based. Supports national competitiveness and innovation.",4915
98,11,Pursue Proactive AI Diplomacy,AI Alliance,Industry Association,7.15,7.5,7.0,7.0,7.0,"Proactive AI diplomacy to shape global standards aligns with IAPS's international governance focus. Somewhat broad, but actionable and timely.",2124
99,17,National AI Testbed Network,Alvarez & Marshall Federal LLC,Industry (Other),7.05,7.5,7.0,7.0,6.5,"National AI Testbed Network is concrete, with sector-specific sandboxes and regulatory safe harbors. Implementation is ambitious but plausible.",1162
100,15,National Digital Content Authentication Technologies Research Ecosystem,Federation of American Scientists,Think Tank,7.05,7.5,7.0,7.0,6.5,"Addresses real risks from synthetic content. Proposes concrete research ecosystem, national database, and prize competitions. Implementation via NIST is feasible.",2280
101,16,Secure Third Party Commercial Data for AI through FedRAMP Authorization,Federation of American Scientists,Think Tank,7.05,7.5,7.0,7.0,6.5,"Securing third-party data for AI is a concrete, actionable proposal with clear implementation path (FedRAMP/OMB). Addresses real national security risks.",2853
102,17,Prioritize adoption of domestic AI models for national security,Microsoft,Frontier Developer,7.05,7.5,7.0,7.0,6.5,Prioritizing domestic AI models for defense is highly aligned with IAPS's national security focus. Implementation is plausible via existing classified cloud infrastructure.,2259
103,15,National Initiative for AI Explainability,Federation of American Scientists,Think Tank,7.05,7.5,7.0,7.0,6.5,National initiative for AI explainability is well-aligned with IAPS's focus on AI assurance and transparency. Cites DARPA precedent and proposes concrete public-private partnership.,4683
104,17,Enhance U.S. national security through targeted AI talent recruitment,Center for Security and Emerging Technology,Think Tank,7.05,7.5,7.0,7.0,6.5,"Targeted AI talent recruitment for national security is specific, evidence-based, and directly advances IAPS's focus on U.S. competitiveness and security.",4029
105,12,Establish AI and Robotics Testing Facilities,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.05,7.5,7.0,7.0,6.5,"Establishes real-world AI/robotics test facilities for safety and collaboration. Concrete, actionable, and supports national competitiveness.",2138
106,22,Form a National AI Hardware Consortium,"CGI Federal, Inc.",Industry (Other),7.025,7.5,7.0,6.5,7.0,"National AI hardware consortium with incentives for domestic chip manufacturing. Actionable, addresses compute governance, and supports U.S. competitiveness.",3420
107,23,Increased Investment in AI Chip Manufacturing,HPE,Industry (Other),7.025,7.5,7.0,6.5,7.0,"Increase investment in AI chip manufacturing and domestic semiconductor leadership. Actionable, addresses compute governance, and supports national security.",3569
108,24,Implement Domestic Manufacturing Incentives for AI Hardware,"CGI Federal, Inc.",Industry (Other),7.025,7.5,7.0,6.5,7.0,"Domestic manufacturing incentives for AI hardware (tax, grants, subsidies). Actionable and aligned with IAPS compute governance priorities.",3538
