batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
16,Develop Guidelines for AI-Generated Intellectual Property,"CGI Federal, Inc.",Industry (Other),6.25,6.5,6.0,6.0,6.5,"Developing guidelines for AI-generated IP is concrete and relevant, but lacks detail on enforcement or standards.",5050
17,Invest in Manufacturing Infrastructure and Supply Chains,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.25,6.5,6.0,6.0,6.5,"Funding for manufacturing infrastructure is actionable and relevant for AI hardware, but lacks detail and direct governance focus.",5134
18,Update laws on child sexual exploitation and non-consensual imagery,Microsoft,Frontier Developer,6.325,6.0,6.5,6.0,7.0,"Updating laws on AI-generated child sexual exploitation imagery is specific, actionable, and politically viable, but not a core IAPS focus.",5079
19,Streamline federal permitting for datacenters and energy infrastructure,Microsoft,Frontier Developer,6.1,6.0,6.0,6.0,6.5,"Streamlining permitting for datacenters/energy infrastructure is actionable and relevant for AI compute, but not a direct governance issue.",5092
20,Foster collaboration on AI security,Microsoft,Frontier Developer,5.75,6.0,5.5,5.5,6.0,"Vague call for collaboration on AI security. Lacks specificity, but aligns with IAPS's interest in security best practices.",5106
21,Accelerate AI R&D and resources for researchers,Google,Frontier Developer,5.75,6.0,5.5,5.5,6.0,"Broad call for increased AI R&D funding and access. Actionable, but largely duplicative of current efforts and lacks governance focus.",4904
22,Establish federal programs for on-the-job AI training,Microsoft,Frontier Developer,5.6000000000000005,5.5,5.5,5.5,6.0,"On-the-job AI training is concrete and feasible, but not directly related to IAPS's governance or security priorities.",4767
23,Teacher Workforce Development for the AI Era,Federation of American Scientists,Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"Teacher workforce development for AI is actionable and evidence-based, but not a core IAPS priority.",4788
24,Promote Awareness of Manufacturing USA Resources,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.3500000000000005,5.5,5.0,5.0,6.0,Promoting awareness of manufacturing resources is concrete but marginal for AI governance.,5002
25,Balance Open-Source AI Innovation with Security,Information Technology Industry Council,Industry Association,5.375,5.5,5.0,5.5,5.5,"Balanced discussion of open-source AI and security, referencing NTIA report. Lacks concrete policy recommendations.",5164
26,Develop a Forward-Looking AI Regulatory Framework,"CGI Federal, Inc.",Industry (Other),5.1,5.0,5.0,5.0,5.5,Vague call for a national AI governance body and adaptive mechanisms. Lacks detail and implementation path.,5104
27,Encourage Responsible AI Governance by Tech Firms,Wahba Institute for Strategic Competition,Think Tank,4.6,4.5,4.5,4.5,5.0,Voluntary AI safety frameworks are vague and lack enforcement. Repeats industry talking points.,4918
28,"Implement ""AI Education for All"" Program",INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,K-12 AI education is broad and lacks specificity. Not aligned with IAPS's governance/security focus.,4772
29,Develop Focused Workforce Development Programs,INCOMPAS,Industry Association,4.475,4.5,4.0,4.5,5.0,Workforce development programs are generic and lack actionable detail.,4847
30,Preemption Framework for Voluntary Federal-Private Partnership,OpenAI,Frontier Developer,4.1000000000000005,4.0,4.0,4.0,4.5,Voluntary federal-private partnership for regulatory preemption is self-serving and vague. Lacks clear governance benefit.,4952
31,Pass Comprehensive Federal Privacy Legislation,Information Technology Industry Council,Industry Association,4.1000000000000005,4.0,4.0,4.0,4.5,Generic call for federal privacy law. Lacks specificity and is a longstanding industry wish.,4792
32,Support federal privacy legislation,Microsoft,Frontier Developer,4.1000000000000005,4.0,4.0,4.0,4.5,Another generic call for privacy legislation. Lacks detail and is self-serving.,4887
33,Establish Clear Guidelines for Data Usage,HPE,Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,Vague call for data usage guidelines. No detail or implementation path.,4910
34,Support Efficient Data Center Operations,Information Technology Industry Council,Industry Association,3.5999999999999996,3.5,3.5,3.5,4.0,Industry wish list for data center operations. Lacks governance focus and is self-serving.,4832
35,Accelerate Authorization Process for Government AI Adoption,Information Technology Industry Council,Industry Association,3.1,3.0,3.0,3.0,3.5,Vague call for accelerated government AI adoption. Lacks specifics and is industry self-interest.,4834
36,Foster Competitive AI Markets,Wahba Institute for Strategic Competition,Think Tank,2.6,2.5,2.5,2.5,3.0,Generic deregulatory rhetoric about 'competitive AI markets.' No substance or implementation path.,4879
37,Use AI to Improve Energy Systems,INCOMPAS,Industry Association,2.1,2.0,2.0,2.0,2.5,"Vague, aspirational statements about AI for energy systems. Lacks policy content or specificity.",4871
38,Withdraw BIS Interim Final Rule on AI Diffusion,Information Technology Industry Council,Industry Association,1.0,1.0,1.0,1.0,1.0,"Pure corporate lobbying to withdraw BIS rule on AI diffusion. No public interest, no evidence, no alignment with IAPS.",4976
