batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
22,Form a National AI Hardware Consortium,"CGI Federal, Inc.",Industry (Other),7.025,7.5,7.0,6.5,7.0,"National AI hardware consortium with incentives for domestic chip manufacturing. Actionable, addresses compute governance, and supports U.S. competitiveness.",3420
23,Increased Investment in AI Chip Manufacturing,HPE,Industry (Other),7.025,7.5,7.0,6.5,7.0,"Increase investment in AI chip manufacturing and domestic semiconductor leadership. Actionable, addresses compute governance, and supports national security.",3569
24,Implement Domestic Manufacturing Incentives for AI Hardware,"CGI Federal, Inc.",Industry (Other),7.025,7.5,7.0,6.5,7.0,"Domestic manufacturing incentives for AI hardware (tax, grants, subsidies). Actionable and aligned with IAPS compute governance priorities.",3538
25,Support the National Artificial Intelligence Research Resource (NAIRR),Amazon,Frontier Developer,7.025,7.5,7.0,6.5,7.0,"Supports NAIRR for academic/government AI research. Actionable, addresses compute/data access, and supports U.S. AI competitiveness.",3044
26,Prepare for AI-based attacks on critical infrastructure,Microsoft,Frontier Developer,7.025,7.5,7.0,6.5,7.0,"Prepares for AI-based attacks on critical infrastructure, recommends red-teaming and resilience. Actionable, evidence-based, and aligned with IAPS national security focus.",2899
27,Expand AI R&D for real-time electric grid management,Bipartisan Policy Center,Think Tank,6.875,7.0,7.0,6.5,7.0,"Expands AI R&D for real-time electric grid management (DOE). Actionable, measurable, and addresses critical infrastructure resilience.",3282
28,Promote U.S.-friendly AI norms in international organizations,Microsoft,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Promotes U.S.-friendly AI norms in international organizations, opposes adversarial narratives. Actionable, aligns with IAPS international governance focus.",3154
29,Establish differentiated ecosystem obligations,Google,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Differentiated ecosystem obligations for AI actors, clarifying roles/liabilities. Actionable, addresses a real gap in AI governance.",3652
30,Emphasize sector-specific and risk-based AI governance,Google,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Emphasizes sector-specific, risk-based AI governance and alignment with technical standards. Actionable, evidence-based, and aligned with IAPS priorities.",3581
31,Balance disclosure requirements,Google,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Balanced disclosure requirements, supports model cards/technical reports, opposes overbroad mandates. Actionable, addresses real-world concerns.",3661
32,Prioritize Cybersecurity in Federal AI Procurement,Information Technology Industry Council,Industry Association,6.75,7.0,6.5,6.5,7.0,"Prioritizes cybersecurity in federal AI procurement, recommends contractual terms for security. Actionable and addresses real risks.",3091
33,Invest in AI Risk Measurement Research,Information Technology Industry Council,Industry Association,6.75,7.0,6.5,6.5,7.0,"Invests in AI risk measurement research, addressing a real gap in risk assessment. Actionable and aligned with IAPS priorities.",3399
34,Develop a Federal AI Initiative,HPE,Industry (Other),6.75,7.0,6.5,6.5,7.0,"Federal AI initiative with public-private partnerships, strategic coordination, and secure classified models. Actionable and supports IAPS priorities.",3023
35,Adopt Liquid Cooling Technologies,HPE,Industry (Other),6.4750000000000005,6.5,6.5,6.0,7.0,"Encourages adoption of liquid cooling for AI infrastructure. Actionable and supports compute governance, but less central to IAPS mission.",3621
36,Grow Investment in Leadership Class Supercomputers,HPE,Industry (Other),6.4750000000000005,6.5,6.5,6.0,7.0,"Grow investment in leadership class supercomputers. Actionable and supports compute governance, but less specific.",3285
37,Expand High-Performance Computing Investments for AI,HPE,Industry (Other),6.3500000000000005,6.5,6.0,6.0,7.0,"Expands HPC investments for DoD AI research. Actionable, evidence-based, but somewhat generic.",2908
38,Create a Federated Data Infrastructure,HPE,Industry (Other),6.3500000000000005,6.5,6.0,6.0,7.0,"Federated data infrastructure for AI research. Actionable, but implementation details are vague.",3254
39,Develop AI-Enhanced Robotic Testing Environment,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"AI-enhanced robotic testing environment, leveraging data repositories. Actionable, but sector-specific.",3480
40,Develop Physically Realistic Intelligent Simulations and Models (PRISM),"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"Invests in physically realistic intelligent simulations for manufacturing AI. Actionable, but niche.",3063
41,Leverage DOE national laboratory partnerships,Bipartisan Policy Center,Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"Leverages DOE national lab partnerships for AI. Actionable, but lacks specificity.",2974
42,Standardize federal AI procurement processes and guidelines,Bipartisan Policy Center,Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"Standardizes federal AI procurement, but overlaps with other procurement-focused proposals.",3676
43,Federal AI Transformation Initiative,Alvarez & Marshall Federal LLC,Industry (Other),6.1,6.0,6.0,6.0,6.5,"Federal AI transformation initiative with funding, roadmaps, and shared services. Actionable, but ambitious and may face bureaucratic resistance.",3425
44,AI Workforce Development,Alvarez & Marshall Federal LLC,Industry (Other),6.1,6.0,6.0,6.0,6.5,"AI workforce certification framework, expanded NSF training, and tax incentives. Actionable, but workforce focus is less central to IAPS.",3694
45,Reauthorize the Workforce Innovation and Opportunity Act,Microsoft,Frontier Developer,5.975,6.0,5.5,6.0,6.5,"Reauthorize WIOA for AI workforce training. Actionable, but generic and not directly IAPS-aligned.",3404
46,Implement skills-based hiring in federal government,Microsoft,Frontier Developer,5.975,6.0,5.5,6.0,6.5,"Skills-based hiring in federal government. Actionable, but not central to IAPS mission.",3244
47,Promote Open-Source AI Education and Training,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"Promotes open-source AI education/training. Actionable, but lacks specificity and not IAPS core.",3093
48,Promote Lifelong Learning and Continuous Education in AI,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"Lifelong learning/continuous AI education. Actionable, but generic and not IAPS core.",3622
49,Promote AI Education and Workforce Development,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"AI education/workforce development programs. Actionable, but generic and not IAPS core.",3227
50,Allocate Funding for AI Research,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"Funding for AI research, interdisciplinary focus. Actionable, but generic and not IAPS core.",3461
51,Support Interdisciplinary AI Research Initiatives,"CGI Federal, Inc.",Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Interdisciplinary AI research initiatives. Actionable, but generic and not IAPS core.",3263
52,Provide Funding and Support for Open-Source AI Projects,"CGI Federal, Inc.",Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Funding/support for open-source AI projects. Actionable, but generic and not IAPS core.",3322
53,Deploy On-Premises AI Clusters,HPE,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Deploy on-premises AI clusters for data sovereignty. Actionable, but niche and not IAPS core.",3372
54,Utilize AI-Driven Predictive Maintenance,HPE,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"AI-driven predictive maintenance. Actionable, but sector-specific and not IAPS core.",3283
55,"Promote development of open, industry-led technical standards",Microsoft,Frontier Developer,5.6000000000000005,5.5,5.5,5.5,6.0,"Promotes open, industry-led technical standards. Actionable, but vague and not IAPS core.",3219
56,Promote Open-Source Frameworks and Standards,HPE,Industry (Other),5.3500000000000005,5.5,5.0,5.0,6.0,"Promotes open-source frameworks/standards. Vague, lacks implementation details.",3277
57,Simplify Procurement for AI Technologies,HPE,Industry (Other),5.2,5.0,5.0,5.0,6.0,"Simplifies procurement for AI. Vague, lacks detail.",3563
58,Modernize government AI adoption and procurement,Google,Frontier Developer,5.2,5.0,5.0,5.0,6.0,"Modernizes government AI adoption/procurement. Vague, mostly corporate wish list.",3822
59,Unlock AI's potential within the public sector,Amazon,Frontier Developer,5.2,5.0,5.0,5.0,6.0,"Unlocks AI in public sector via cloud. Mostly marketing, lacks specificity.",3803
60,Use Government Procurement as Market Signal,INCOMPAS,Industry Association,5.2,5.0,5.0,5.0,6.0,"Government procurement as market signal. Vague, lacks detail.",3607
61,Develop Comprehensive Guidelines for AI Deployment,"CGI Federal, Inc.",Industry (Other),4.85,5.0,4.5,4.5,5.5,"Develops AI deployment guidelines. Vague, lacks enforcement or measurable objectives.",3104
62,Adopt Voluntary Risk-Based Approaches,HPE,Industry (Other),4.699999999999999,4.5,4.5,4.5,5.5,"Voluntary risk-based approaches. Vague, lacks enforcement or specificity.",3119
63,Engage in Multilateral AI Forums,Information Technology Industry Council,Industry Association,4.699999999999999,4.5,4.5,4.5,5.5,"Engage in multilateral AI forums. Vague, generic, lacks concrete mechanism.",2914
64,Include Smaller AI Companies in Government Discussions,INCOMPAS,Industry Association,4.2,4.0,4.0,4.0,5.0,"Include smaller AI companies in discussions. Vague, lacks implementation path.",3466
65,Consider Stakeholder Roles Across AI Value Chain,Information Technology Industry Council,Industry Association,4.2,4.0,4.0,4.0,5.0,"Stakeholder roles across AI value chain. Vague, lacks actionable recommendations.",2991
66,Develop Federal Direction for Regional AI Initiatives,INCOMPAS,Industry Association,4.2,4.0,4.0,4.0,5.0,"Federal direction for regional AI initiatives. Vague, lacks specificity.",3747
67,Improve Access to Public Datasets,INCOMPAS,Industry Association,4.2,4.0,4.0,4.0,5.0,"Improve access to public datasets. Duplicates existing efforts, lacks new value.",2894
68,Balance Copyright Protections with AI Innovation,Information Technology Industry Council,Industry Association,3.6999999999999997,3.5,3.5,3.5,4.5,"Balance copyright protections with AI innovation. Mostly industry talking points, lacks actionable policy.",3442
69,Reform High-Skilled Immigration for AI Talent,Information Technology Industry Council,Industry Association,3.6999999999999997,3.5,3.5,3.5,4.5,"High-skilled immigration reform (H-1B). Corporate lobbying, lacks specificity, politically fraught.",2917
70,Increase Support for University AI Research,INCOMPAS,Industry Association,3.2,3.0,3.0,3.0,4.0,"Increase support for university AI research. Generic, lacks specifics, not IAPS core.",2883
71,Invest in domestic workforce for broad AI adoption,Amazon,Frontier Developer,3.2,3.0,3.0,3.0,4.0,"Invest in domestic workforce for AI adoption. Generic, corporate wish list.",2940
72,Combat restrictive foreign AI barriers,Google,Frontier Developer,2.7,2.5,2.5,2.5,3.5,"Combat restrictive foreign AI barriers. Corporate lobbying, deregulatory, not IAPS-aligned.",3470
73,Implement AI-Driven Spectrum Management,INCOMPAS,Industry Association,2.7,2.5,2.5,2.5,3.5,"AI-driven spectrum management. Corporate wish list, not IAPS-aligned.",3073
74,Create Incentives for Worker Training,INCOMPAS,Industry Association,2.2,2.0,2.0,2.0,3.0,"Incentives for worker training. Generic, corporate lobbying, not IAPS-aligned.",2862
75,Streamline Government Procurement Processes for AI Technologies,"CGI Federal, Inc.",Industry (Other),1.7,1.5,1.5,1.5,2.5,"Streamline government procurement for AI. Vague, generic, lacks evidence or specificity.",2950
