batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
22,Create standard pathways to contest AI results,Center for Security and Emerging Technology,Think Tank,6.5,6.5,6.5,6.5,6.5,"Standard pathways to contest AI results are actionable, address real risks, and can be implemented through existing agencies.",2017
23,Enhance Government-to-Government Consultation with Tribal Nations,National Congress of American Indians,Advocacy Org,6.5,6.5,6.5,6.5,6.5,"Concrete recommendations for improving Tribal consultation in AI policy. Actionable, with precedent in federal consultation frameworks.",2171
24,Trusted GovTech Marketplaces,Vanta,Industry (Other),6.375,6.5,6.5,6.0,6.5,Trusted GovTech marketplaces for rapid AI procurement are actionable and address a real government bottleneck. Some implementation complexity.,2182
25,AI Compute Access Program,Alvarez & Marshall Federal LLC,Industry (Other),6.375,6.5,6.5,6.0,6.5,"AI compute access program democratizes compute, with clear implementation path (NSF, merit-based review). Addresses real gap.",2238
26,Upgrade Data Centers for AI Workloads,HPE,Industry (Other),6.25,6.5,6.0,6.0,6.5,"Upgrading data centers for AI workloads is actionable and necessary for US competitiveness. Somewhat generic, but implementation path is clear.",2176
27,Implement comprehensive AI risk assessment and governance framework,American Chemistry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Comprehensive risk assessment and governance framework for AI. Somewhat broad, but addresses real gaps and is actionable.",2209
28,"Expand Federal Investment in Modular, Credential-Based AI Training",AI Applied Consortium,Industry Association,6.0,6.0,6.0,6.0,6.0,"Modular, credential-based AI training is actionable, evidence-based, and addresses workforce needs. Not a core IAPS focus, but relevant.",2248
29,Ban non-consensual deepfake pornography,Americans for Responsible Innovation,Advocacy Org,6.0,6.0,6.0,6.0,6.0,"Ban on non-consensual deepfake pornography is concrete, actionable, and addresses a real harm. Includes technical recommendations for detection.",2215
30,Enforce copyright fair use for AI training,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Enforce copyright fair use for AI training. Actionable, addresses real legal uncertainty, and has precedent.",2100
31,Ensure access to data for fair learning,Google,Frontier Developer,6.0,6.0,6.0,6.0,6.0,Balanced copyright/data access for AI training is actionable and evidence-based. Addresses a real bottleneck for AI innovation.,2087
32,Increase domestic manufacturing of energy infrastructure,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Increase domestic manufacturing of energy infrastructure is actionable, with clear economic rationale. Not core to IAPS, but relevant for AI infrastructure.",2233
33,Prioritize continuous AI upskilling programs,Dcode,Industry (Other),5.7250000000000005,5.5,6.0,5.5,6.0,Continuous AI upskilling programs leveraging private sector expertise are actionable and address workforce needs. Not a core IAPS focus.,2203
34,Establish the AI Workforce Resilience Program,Joint Center for Political and Economic Studies,Think Tank,5.7250000000000005,5.5,6.0,5.5,6.0,"AI Workforce Resilience Program is actionable, with clear implementation steps. Not a core IAPS priority, but relevant for economic stability.",2181
35,Develop National AI Guidelines with Human-Centered Approach,AI in Education at Oxford University,Academia,5.6000000000000005,5.5,5.5,5.5,6.0,"National AI guidelines with human-centered approach are broad, but include some actionable elements (digital infrastructure, inclusion).",2139
36,Incorporate Fairness Metrics in AI Systems,National Fair Housing Alliance,Advocacy Org,5.6000000000000005,5.5,5.5,5.5,6.0,"Fairness metrics in AI systems are actionable in some sectors, with existing frameworks cited. Not a core IAPS focus, but relevant.",2141
37,Promote Data Center Sustainability,National Fair Housing Alliance,Advocacy Org,5.6000000000000005,5.5,5.5,5.5,6.0,"Data center sustainability is actionable and relevant for AI infrastructure. Not a core IAPS focus, but addresses real-world constraints.",2188
38,Enhance labor market insights for AI workforce,Microsoft,Frontier Developer,5.6000000000000005,5.5,5.5,5.5,6.0,Enhancing labor market insights for AI workforce is actionable and evidence-based. Not a core IAPS priority.,2101
39,Prioritize Consensus Standards Over Third-Party Evaluators,AdvaMed,Industry Association,5.6000000000000005,5.5,5.5,5.5,6.0,"Prioritizes consensus standards over third-party evaluators in healthcare AI. Actionable, but sector-specific and not central to IAPS.",2206
40,Develop AI-enhanced skill acquisition and knowledge dissemination,University of Notre Dame,Academia,5.6000000000000005,5.5,5.5,5.5,6.0,AI-enhanced skill acquisition and knowledge dissemination is actionable and relevant for workforce development. Not a core IAPS priority.,2177
41,Create Centers of AI Acceleration,IEEE,Professional Society,5.6000000000000005,5.5,5.5,5.5,6.0,"Centers of AI Acceleration are actionable and support innovation. Somewhat broad, but implementation path is plausible.",2210
42,Encourage Global Adoption of Ethical AI Standards,HPE,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Encouraging global adoption of ethical AI standards is broad, but supports international governance. Lacks specificity.",2075
43,Promote a Risk-Based Approach to AI Development,Adobe,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,Risk-based approach to AI development is actionable and aligns with regulatory best practices. Somewhat generic.,2122
44,Foster Partnerships for Resource Sharing,HPE,Industry (Other),5.225,5.0,5.5,5.0,5.5,"Fostering partnerships to share supercomputing resources is actionable, but lacks detail and is not a core IAPS priority.",2170
45,Require publicly available lists of AI training inputs,"International Association of Scientific, Technical and Medical Publishers",Industry Association,5.225,5.0,5.5,5.0,5.5,Publicly available lists of AI training inputs are actionable and support transparency. Implementation may be challenging.,2192
46,Regulate AI applications rather than underlying technology,National Taxpayers Union Foundation,Think Tank,5.225,5.0,5.5,5.0,5.5,Regulating AI applications rather than technology is actionable and aligns with sector-specific regulation. Lacks detail.,2081
47,Ensure human-centric AI development and deployment,Center for AI and Digital Policy,Advocacy Org,5.1,5.0,5.0,5.0,5.5,"Human-centric AI development is a common refrain; some actionable elements (accountability), but mostly broad and aspirational.",2084
48,Invest in AI Research and Development for Defense Applications,"CGI Federal, Inc.",Industry (Other),5.1,5.0,5.0,5.0,5.5,"AI R&D for defense is actionable and relevant, but lacks detail and is largely status quo.",2093
49,Promote Competition and Collaboration Among AI Companies,"CGI Federal, Inc.",Industry (Other),5.1,5.0,5.0,5.0,5.5,"Promoting competition and collaboration is broad, but includes some actionable elements (frameworks, consortia).",2088
50,Support Consortiums for AI Research,HPE,Industry (Other),5.1,5.0,5.0,5.0,5.5,"Supporting AI research consortiums is actionable, but lacks specificity and is largely status quo.",2060
51,Partner with Industry to Create Apprenticeship and Internship Programs,"CGI Federal, Inc.",Industry (Other),5.1,5.0,5.0,5.0,5.5,"Industry apprenticeship/internship programs are actionable, but not a core IAPS focus and lack strategic alignment.",2144
52,Broaden AI Awareness and Skills Training,PSC,Professional Society,5.1,5.0,5.0,5.0,5.5,"Broaden AI awareness and skills training is actionable, but generic and not strategically focused.",2137
53,Position AI Literacy as a National Priority,AI in Education at Oxford University,Academia,5.1,5.0,5.0,5.0,5.5,"AI literacy as a national priority is broad, with some actionable elements. Not a core IAPS focus.",2086
54,Ensure Adequate FDA Staffing and Resources,AdvaMed,Industry Association,5.1,5.0,5.0,5.0,5.5,"Ensuring FDA staffing/resources is actionable, but sector-specific and largely status quo.",2167
55,Create Permanent Medicare Payment Pathways for AI Technologies,AI Healthcare Coalition,Industry Association,5.1,5.0,5.0,5.0,5.5,"Permanent Medicare payment pathways for AI are actionable, but sector-specific and not a core IAPS focus.",2245
56,Provide Financial Incentives for AI Manufacturing Technology Adoption,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.725,4.5,5.0,4.5,5.0,"Financial incentives for AI manufacturing adoption are actionable, but largely a corporate wish list.",2112
57,Promote AI-powered robotic systems in critical sectors,University of Notre Dame,Academia,4.725,4.5,5.0,4.5,5.0,"Promoting AI-powered robotics in critical sectors is actionable, but generic and not strategically focused.",2091
58,Invest in reproducible research through AI,University of Notre Dame,Academia,4.725,4.5,5.0,4.5,5.0,"Investments in reproducible research through AI are actionable, but not a core IAPS focus and lack specificity.",2133
59,Apply AI for Water Monitoring and Extreme Event Forecasting,University of Vermont,Academia,4.725,4.5,5.0,4.5,5.0,"AI for water monitoring/extreme events is actionable, but sector-specific and not a core IAPS focus.",2106
60,Fund targeted research for electrical infrastructure and battery chemistries,Americans for Responsible Innovation,Advocacy Org,4.725,4.5,5.0,4.5,5.0,"Targeted research for electrical infrastructure/battery chemistries is actionable, but not a core IAPS focus.",2108
61,Exclude AI Services from the OPPS Cap on Imaging Services,AI Healthcare Coalition,Industry Association,4.6,4.5,4.5,4.5,5.0,"Excluding AI services from OPPS cap is sector-specific, self-serving, and not a core IAPS focus.",2153
62,Ensure Market Access for U.S. AI Technology,HPE,Industry (Other),4.45,4.0,4.5,4.5,5.0,"Ensuring market access for US AI is a generic trade ask, with little actionable detail.",2095
63,Avoid Picking Winners,Technology Policy Institute,Think Tank,4.45,4.0,4.5,4.5,5.0,"Avoiding 'picking winners' is a common refrain, with little actionable substance.",2160
64,Improve cybersecurity for AI systems,American Academy of Pediatrics,Professional Society,4.45,4.0,4.5,4.5,5.0,"Improving cybersecurity for AI systems is important, but this proposal is vague and lacks actionable detail.",2151
65,Minimize AI Regulatory Compliance Burdens,National Association of Manufacturers,Industry Association,3.8249999999999997,3.5,4.0,3.5,4.5,"Minimizing AI regulatory compliance burdens is a generic industry ask, with little actionable detail or evidence.",2055
66,Authority to Operate Reciprocity,Vanta,Industry (Other),3.8249999999999997,3.5,4.0,3.5,4.5,"ATO reciprocity is a narrow procurement reform, largely a corporate wish list, and not a core IAPS focus.",2014
67,Create a Centralized AI Procurement Office,"CGI Federal, Inc.",Industry (Other),3.8249999999999997,3.5,4.0,3.5,4.5,Centralized AI procurement office is a bureaucratic solution with little evidence or strategic value.,2035
68,Create programs to offset occupational obsolescence,University of Notre Dame,Academia,3.8249999999999997,3.5,4.0,3.5,4.5,"Programs to offset occupational obsolescence are broad, generic, and lack actionable detail.",2050
69,Support for AI-Driven Accessibility Innovation,International Association of Venue Managers (IAVM),Professional Society,3.325,3.0,3.5,3.0,4.0,"AI-driven accessibility innovation is sector-specific, vague, and not a core IAPS focus.",2054
70,Establish appropriate licensing regime for creators,"International Association of Scientific, Technical and Medical Publishers",Industry Association,2.825,2.5,3.0,2.5,3.5,"Licensing regime for creators is a self-serving industry ask, with little strategic or actionable value.",2008
71,Protect intellectual property in government AI applications,American Chemistry Council,Industry Association,2.825,2.5,3.0,2.5,3.5,"Protecting IP in government AI applications is a narrow, self-serving industry ask.",2009
72,Expand funding for AI education programs and infrastructure,American Council on Education,Academia,2.825,2.5,3.0,2.5,3.5,"Expanding funding for AI education programs is generic, not actionable, and not a core IAPS focus.",2019
73,Develop ML-Assisted Structural Optimization,University of Vermont,Academia,2.325,2.0,2.5,2.0,3.0,"ML-assisted structural optimization is an academic research wish, with no policy path.",2023
74,Expand AI Literacy & Public Awareness,Wahba Institute for Strategic Competition,Think Tank,2.325,2.0,2.5,2.0,3.0,"Expanding AI literacy/public awareness is generic, vague, and not actionable.",2037
75,Aligning Public Sector Procurement with Innovation,Chickasaw Federal,Industry (Other),1.825,1.5,2.0,1.5,2.5,"Public sector procurement alignment is a vague, hand-waving proposal with no actionable content or evidence.",2136
