overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
90,32,Lead Open Standards in AI Infrastructure,HPE,Industry (Other),6.15,6.5,6.0,6.0,6.0,"Leading open standards in AI infrastructure is relevant to international governance and technical standards, though somewhat generic.",1851
91,33,Adopt NIST AI RMF Across Federal Agencies,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Adopting NIST AI RMF across federal agencies is actionable and relevant, though primarily industry-driven and not novel.",1469
92,27,Launch an AI Data Initiative,HPE,Industry (Other),6.15,6.5,6.0,6.0,6.0,"AI Data Initiative is actionable and addresses real data access issues. Somewhat general, but implementation path is plausible.",2744
93,28,Encourage open government data initiatives for AI research,Bipartisan Policy Center,Think Tank,6.15,6.5,6.0,6.0,6.0,"Open government data initiatives for AI research are actionable and address real gaps. Implementation is plausible, but lacks detail.",2592
94,29,Enhance Cybersecurity for Energy Infrastructure,INCOMPAS,Industry Association,6.15,6.5,6.0,6.0,6.0,"Enhancing cybersecurity for energy infrastructure is aligned with IAPS's national security focus. Actionable, but largely continues existing efforts.",2705
95,32,Expand Global AI Education & Workforce Training,Wahba Institute for Strategic Competition,Think Tank,6.025,6.5,6.0,5.5,6.0,"Expanding global AI education and workforce training is relevant to US leadership and IAPS's international focus. Somewhat broad, but actionable.",999
96,34,Promote Open Standards to Reduce Lock-in,HPE,Industry (Other),6.0,6.0,6.0,6.0,6.0,"Promoting open standards to reduce lock-in is actionable and relevant, though lacks detail on enforcement and implementation.",1395
97,35,Enhance resilience of AI supply chain,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Enhancing AI supply chain resilience is relevant to IAPS priorities, though details are generic and implementation path is broad.",1570
98,30,Promote AI innovation in U.S. trade agreements,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Promoting AI innovation in trade agreements is aligned with IAPS's competitiveness priorities. Actionable, but lacks detail on enforcement.",2670
99,31,Influence International AI Standards,Wahba Institute for Strategic Competition,Think Tank,6.0,6.0,6.0,6.0,6.0,"Influencing international AI standards is aligned with IAPS's global governance focus. Actionable, but somewhat general and aspirational.",2229
100,32,Foster dynamic and competitive AI markets,Center for Security and Emerging Technology,Think Tank,6.0,6.0,6.0,6.0,6.0,"Promoting competitive AI markets is aligned with IAPS's innovation focus. Actionable, but lacks specific mechanisms.",2142
101,33,Support community colleges for AI workforce training,Center for Security and Emerging Technology,Think Tank,6.0,6.0,6.0,6.0,6.0,Supporting community colleges for AI workforce training is actionable and addresses real gaps. Implementation path is clear.,2740
102,34,Provide Targeted Workforce Development Grants,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.0,6.0,6.0,6.0,6.0,Targeted workforce development grants are actionable and address real workforce needs. Implementation path is clear.,2842
103,35,Develop Federal AI Workforce Capabilities,Information Technology Industry Council,Industry Association,6.0,6.0,6.0,6.0,6.0,Developing federal AI workforce capabilities is actionable and addresses real gaps. Lacks detail on specific mechanisms.,2427
104,36,Accelerate AI Workforce Development for Defense,HPE,Industry (Other),6.0,6.0,6.0,6.0,6.0,Accelerating AI workforce development for defense is actionable and aligned with IAPS priorities. Lacks detail on implementation.,2689
105,37,Fund Research on AI-Driven Cybersecurity Solutions,"CGI Federal, Inc.",Industry (Other),6.0,6.0,6.0,6.0,6.0,Funding research on AI-driven cybersecurity is actionable and aligned with IAPS's security focus. Lacks detail on specific research priorities.,2801
106,38,AI-Driven Materials Discovery at DOE,Federation of American Scientists,Think Tank,6.0,6.0,6.0,6.0,6.0,AI-driven materials discovery at DOE is actionable and aligned with IAPS's innovation focus. Lacks detail on implementation.,2140
107,33,Support public-private partnerships for AI education,Microsoft,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Supporting public-private partnerships for AI education is actionable, but broad and somewhat self-serving. Aligns with workforce development, a secondary IAPS concern.",704
108,35,Establish a National AI Research Institute,"CGI Federal, Inc.",Industry (Other),5.875,6.0,6.0,5.5,6.0,National AI Research Institute proposal is actionable and supports US AI leadership. Somewhat generic and risks duplicating existing efforts.,828
109,36,Incentivize Domestic Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.875,6.0,6.0,5.5,6.0,Incentivizing domestic manufacturing is actionable and supports US competitiveness. Somewhat generic and lacks detail on implementation.,961
110,36,AI Infrastructure Investments and Regulatory Reforms,OpenAI,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"AI infrastructure investment strategy is relevant and actionable, but proposal is broad and somewhat self-serving.",1311
111,37,Champion market-driven technical standards internationally,Google,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Championing market-driven technical standards is relevant, but proposal is industry-centric and lacks enforcement mechanisms.",1360
112,38,Strategic AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),5.875,6.0,6.0,5.5,6.0,"Strategic AI research program is actionable and relevant, but scale and implementation details are ambitious and somewhat vague.",1304
113,39,Properly staff and fund NIST,Microsoft,Frontier Developer,5.875,6.0,5.5,6.0,6.0,Properly staffing and funding NIST is actionable and supports IAPS's standards priorities. Lacks detail on specific outcomes.,2475
114,37,Strategic AI Economic Zones,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Strategic AI Economic Zones are actionable and support national security, but implementation is complex and risks being a corporate subsidy.",506
115,39,Mission-Critical AI Applications,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Mission-critical AI applications are actionable and measurable, but the proposal is broad and risks being a tech vendor wish list.",1024
116,39,Provide Access to High-Performance Compute Power,Wahba Institute for Strategic Competition,Think Tank,5.75,6.0,5.5,5.5,6.0,"Access to high-performance compute power is relevant, but proposal is broad and lacks specific implementation mechanisms.",1621
