overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
11,4,Lead International AI Safety Institute Network,Information Technology Industry Council,Industry Association,7.824999999999999,9.0,7.5,7.0,7.5,Directly targets IAPS priority of international AI safety institute coordination. Specific recommendation to retain US leadership in the global AI safety network. Actionable and timely given current international efforts.,538
12,8,Establish whistleblower protections for AI company employees,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Whistleblower protections for AI company employees is actionable, addresses real gaps in governance, and supports accountability in high-risk AI development.",1602
13,9,Empower OSD to set AI security standards for military,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Empowering OSD to set AI security standards is a concrete, actionable step to reduce duplication and improve security. Directly relevant to IAPS's focus on national security AI governance.",1269
14,5,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,7.7,8.5,7.5,7.5,7.0,"Proposes a dedicated AI and Computing Lab at DOE, advancing IAPS's focus on compute governance and national security. Clear implementation path, leverages existing DOE strengths, and addresses strategic needs.",1027
15,10,Implement Strategic Export Control Measures for AI,"CGI Federal, Inc.",Industry (Other),7.65,8.0,8.0,7.0,7.5,"Robust export licensing system for AI tech is highly aligned with IAPS's export control priorities. Proposes monitoring and enforcement mechanisms, though details could be stronger.",1905
16,11,Build an integrated biosecurity ecosystem,Center for Security and Emerging Technology,Think Tank,7.65,8.0,7.5,7.5,7.5,Integrating AI into biosecurity ecosystem is evidence-based and recognizes real-world limitations of AI-only controls. Actionable and fills a governance gap.,1526
17,6,Expand the National AI Research Resource,Federation of American Scientists,Think Tank,7.575,8.5,7.5,7.0,7.0,"Expanding NAIRR is highly aligned with IAPS's compute access and research resource priorities. Concrete, actionable, and addresses a documented gap. Politically feasible with bipartisan support.",378
18,12,Expand open-source intelligence gathering on AI,Center for Security and Emerging Technology,Think Tank,7.550000000000001,8.0,7.5,7.5,7.0,"Expanding OSINT on AI is a concrete, underdeveloped area in government. Actionable, fills a real intelligence gap, and supports IAPS's evidence-based approach.",1639
19,7,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),7.45,8.5,7.0,7.0,7.0,"Comprehensive proposal for domestic AI compute infrastructure, including funding, tax incentives, and strategic zones. Directly advances IAPS compute governance priorities. Specific mechanisms, though implementation complexity is high.",716
20,13,National AI Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Comprehensive AI security framework for critical infrastructure is highly aligned with IAPS priorities. Concrete phased implementation, though some elements may face political resistance.",1755
21,14,Define Global AI Safety Standards,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Defines US-led global AI safety standards, leveraging existing initiatives (AISIC, INASI). Actionable, aligns with IAPS's international governance focus.",1465
22,8,Encourage risk-based governance practices in the private sector,Amazon,Frontier Developer,7.300000000000001,8.0,7.0,7.0,7.0,"Encourages risk-based governance and public-private collaboration for advanced AI model evaluation. Aligns with IAPS's focus on dual-use risk and governance. Specific, actionable, and feasible.",400
23,12,Develop standardized metrics for data centers,Bipartisan Policy Center,Think Tank,7.275,7.5,7.5,7.0,7.0,"Standardized metrics for data center efficiency are actionable, measurable, and support IAPS's compute governance focus. Leverages NIST and DOE, with clear implementation path.",54
24,9,Enhance AI Model Security & Oversight,Wahba Institute for Strategic Competition,Think Tank,7.2,8.0,7.0,7.0,6.5,"Addresses open/closed model security, proposes concrete safeguards and restrictions for national security. Highly relevant to IAPS's dual-use and governance focus. Somewhat less clear on implementation, but strong alignment.",889
25,10,Maintain AI Infrastructure Sovereignty,Wahba Institute for Strategic Competition,Think Tank,7.175000000000001,8.0,7.0,6.5,7.0,"Focuses on domestic AI infrastructure sovereignty and public-private partnerships, a core IAPS concern. Specific mechanisms for compute and data access. Politically viable and addresses a real gap.",863
26,11,Prioritize Incentives for AI Chips Manufacturing and Design,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,"Prioritizes domestic AI chip manufacturing and design, directly supporting IAPS's compute governance and national security priorities. Specific incentives and policy mechanisms.",438
27,13,Codify the National AI Research Resource,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,Codifying NAIRR advances IAPS's compute governance and research access priorities. Specific legislative recommendation with bipartisan support.,1061
28,15,Incentivize multiple approaches to frontier AI research,Center for Security and Emerging Technology,Think Tank,7.15,7.5,7.0,7.0,7.0,"Incentivizing alternative approaches to frontier AI research is specific, evidence-based, and addresses US-China competition. Implementation path is plausible.",1355
29,16,Federal AI Center of Excellence for State and Local Governments,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"Federal AI Center of Excellence for SLTT governments is actionable, addresses a real gap in AI governance capacity, and is politically feasible.",1070
30,17,National AI Testbed Network,Alvarez & Marshall Federal LLC,Industry (Other),7.05,7.5,7.0,7.0,6.5,"National AI Testbed Network is concrete, with sector-specific sandboxes and regulatory safe harbors. Implementation is ambitious but plausible.",1162
31,18,Support existing DOE programs that are training the national AI workforce,Bipartisan Policy Center,Think Tank,7.0,7.0,7.0,7.0,7.0,"Supports existing DOE AI workforce programs—concrete, evidence-based, and politically viable. Directly advances national competitiveness.",1634
32,14,AI-Driven Critical Infrastructure Protection,Alvarez & Marshall Federal LLC,Industry (Other),6.925,7.5,7.0,6.5,6.5,"AI-driven critical infrastructure protection is highly relevant to IAPS's national security focus. Specific recommendations for anomaly detection, predictive maintenance, and autonomous restoration. Implementation is complex but feasible.",844
33,15,Modernize Department of Defense AI Policies,Wahba Institute for Strategic Competition,Think Tank,6.925,7.5,7.0,6.5,6.5,"Modernizing DoD AI policies for human oversight and escalation control aligns with IAPS's national security and governance priorities. Specific recommendations for modeling, simulation, and oversight.",475
34,19,AI-Ready Collaborative Datasets for Life Sciences,Federation of American Scientists,Think Tank,6.8999999999999995,7.0,7.0,7.0,6.5,"Government-funded collaborative datasets for life sciences is actionable, addresses a real bottleneck, and could be extended to other sectors.",1842
35,16,Promote open AI models,Center for Security and Emerging Technology,Think Tank,6.8,7.5,6.5,6.5,6.5,"Supports open AI models with clear risk thresholds, balancing innovation and security. Aligns with IAPS's nuanced approach to open/closed models and dual-use risk.",657
36,17,Invest in AI Hardware Development,"CGI Federal, Inc.",Industry (Other),6.8,7.5,6.5,6.5,6.5,"Investing in AI hardware and chip manufacturing is core to IAPS's compute governance and national security priorities. Specific mechanisms (consortium, incentives) are actionable.",505
37,18,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),6.8,7.5,6.5,6.5,6.5,National AI compute infrastructure proposal is comprehensive and directly aligned with IAPS's strategic priorities. Implementation complexity is high but mechanisms are concrete.,716
38,20,National Security AI Entrepreneur Visa,Federation of American Scientists,Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"National Security AI Entrepreneur Visa is specific, actionable, and addresses a real talent gap in dual-use AI. Political feasibility is moderate.",1751
39,20,Data-Sharing Standards for AI in Healthcare,Federation of American Scientists,Think Tank,6.675,7.0,7.0,6.5,6.0,"Data-sharing standards for AI in healthcare are actionable, evidence-based, and leverage NIST. Aligns with IAPS's standards and governance focus.",278
40,19,Adopt balanced export control policies,Google,Frontier Developer,6.6499999999999995,7.0,6.5,6.5,6.5,"Balanced export control policies are a core IAPS concern. While the proposal is somewhat self-serving, it acknowledges national security and economic competitiveness tradeoffs and calls for detailed analysis.",326
41,21,Establish a National AI Governance Body,"CGI Federal, Inc.",Industry (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"National AI governance body is aligned with IAPS's governance focus. Somewhat vague on operational details, but the core is actionable.",1593
42,22,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,6.6499999999999995,7.0,6.5,6.5,6.5,Procurement reform for smaller AI vendors is actionable and addresses a real market failure. Implementation is plausible.,1924
43,23,Centralize DOE AI strategy and execution,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Centralizing DOE AI strategy is actionable, avoids duplication, and is politically feasible. Directly relevant to national security and governance.",1603
44,24,Advance AI chip technology and data center efficiency,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Directs DOE to advance AI chip and data center efficiency. Actionable, relevant to compute governance and infrastructure.",1860
45,25,Promote AI-enhanced scientific progress with focus on AIxBio,Center for Security and Emerging Technology,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"AIxBio proposal is specific, actionable, and addresses a real competitive battleground. Implementation path is plausible.",1631
46,26,Secure AI Supply Chain,Wahba Institute for Strategic Competition,Think Tank,6.55,7.0,6.5,6.5,6.0,"Securing AI supply chain is highly relevant, though details are somewhat generic. Actionable and aligned with national security.",1795
47,27,National AI Research Infrastructure,Alvarez & Marshall Federal LLC,Industry (Other),6.55,7.0,6.5,6.5,6.0,"National AI Research Infrastructure with compute consortium is actionable, addresses a real bottleneck, and is aligned with IAPS compute governance.",1114
48,21,Engage in international AI governance efforts,Microsoft,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Engagement in international AI governance (e.g., G7 Hiroshima Process) is directly relevant to IAPS's international coordination focus. Actionable, but somewhat generic.",359
49,22,Promote low-carbon power procurement for data centers,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,"Promoting low-carbon power procurement for data centers is specific, actionable, and supports AI infrastructure resilience—a secondary IAPS concern.",551
50,23,Enable AI to bolster national security and defense,Amazon,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Enabling AI for national security and defense is highly aligned with IAPS priorities, but the proposal is partly self-serving (Amazon cloud). Still, it is specific and actionable.",412
51,24,Attract and retain foreign-born AI talent,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,Attracting and retaining foreign-born AI talent is critical for US competitiveness and aligns with IAPS's strategic focus. Specific mechanism (Schedule A update) is actionable.,495
52,28,Increase AI R&D spending,Microsoft,Frontier Developer,6.3999999999999995,7.0,6.0,6.0,6.5,"Increase AI R&D spending is specific, actionable, and politically viable, though lacks detailed implementation mechanisms.",1788
53,25,Advance AI applications under DOE's broad mission space,Bipartisan Policy Center,Think Tank,6.3,7.0,6.0,6.0,6.0,Advancing AI applications under DOE's mission is aligned with IAPS's focus on public-sector AI and national security. Somewhat broad but leverages DOE's unique capabilities.,1047
54,29,Reform Immigration Policies for AI Talent,INCOMPAS,Industry Association,6.25,6.5,6.0,6.0,6.5,"Targeted immigration reform for AI talent is actionable and addresses a real gap, though implementation details are limited.",1957
55,30,Incentivize utility and data center expansion,Bipartisan Policy Center,Think Tank,6.25,6.5,6.0,6.0,6.5,"Incentivizing utility and data center expansion is actionable, addresses infrastructure needs, and is politically plausible.",1835
56,31,Energy Infrastructure Preparation for AI Growth,Federation of American Scientists,Think Tank,6.25,6.5,6.0,6.0,6.5,"Standardized framework for measuring AI energy demand is actionable, addresses a real gap, and is politically feasible.",1092
57,26,Promote AI Alignment Research,Wahba Institute for Strategic Competition,Think Tank,6.15,6.5,6.0,6.0,6.0,"Promoting AI alignment research is relevant to IAPS's safety focus. Somewhat generic, but includes specific open-source safety tool initiatives.",324
58,27,Create an AI scholarship-for-service program,Center for Security and Emerging Technology,Think Tank,6.15,6.5,6.0,6.0,6.0,"AI scholarship-for-service program is actionable and supports public-sector AI expertise, a secondary IAPS concern. Specific mechanism (NSF, CyberCorps) is credible.",434
59,28,Expand Public Sector AI Expertise,INCOMPAS,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding public-sector AI expertise is important for governance and implementation. Specific programs cited, but overall approach is somewhat generic.",381
60,29,Expand Access to Federal Data,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding access to federal data supports AI innovation and aligns with IAPS's data governance focus. Somewhat generic, but actionable.",677
61,30,Unlock energy capacity for AI infrastructure,Amazon,Frontier Developer,6.15,6.5,6.0,6.0,6.0,Unlocking energy capacity for AI infrastructure is actionable and addresses a real constraint for AI competitiveness. Somewhat self-serving but specific.,994
62,31,Strengthen Electrical Grid and Streamline Energy Infrastructure Permitting,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Strengthening the electrical grid and streamlining permitting is actionable and supports AI infrastructure. Somewhat generic, but addresses a real bottleneck.",1026
63,34,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,6.15,6.5,6.0,6.0,6.0,DOE AI and Computing Lab proposal is actionable and leverages DOE's unique strengths. Somewhat duplicative of other proposals but still relevant.,1027
64,32,Lead Open Standards in AI Infrastructure,HPE,Industry (Other),6.15,6.5,6.0,6.0,6.0,"Leading open standards in AI infrastructure is relevant to international governance and technical standards, though somewhat generic.",1851
65,33,Adopt NIST AI RMF Across Federal Agencies,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Adopting NIST AI RMF across federal agencies is actionable and relevant, though primarily industry-driven and not novel.",1469
66,32,Expand Global AI Education & Workforce Training,Wahba Institute for Strategic Competition,Think Tank,6.025,6.5,6.0,5.5,6.0,"Expanding global AI education and workforce training is relevant to US leadership and IAPS's international focus. Somewhat broad, but actionable.",999
67,34,Promote Open Standards to Reduce Lock-in,HPE,Industry (Other),6.0,6.0,6.0,6.0,6.0,"Promoting open standards to reduce lock-in is actionable and relevant, though lacks detail on enforcement and implementation.",1395
68,35,Enhance resilience of AI supply chain,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Enhancing AI supply chain resilience is relevant to IAPS priorities, though details are generic and implementation path is broad.",1570
69,33,Support public-private partnerships for AI education,Microsoft,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Supporting public-private partnerships for AI education is actionable, but broad and somewhat self-serving. Aligns with workforce development, a secondary IAPS concern.",704
70,35,Establish a National AI Research Institute,"CGI Federal, Inc.",Industry (Other),5.875,6.0,6.0,5.5,6.0,National AI Research Institute proposal is actionable and supports US AI leadership. Somewhat generic and risks duplicating existing efforts.,828
71,36,Incentivize Domestic Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.875,6.0,6.0,5.5,6.0,Incentivizing domestic manufacturing is actionable and supports US competitiveness. Somewhat generic and lacks detail on implementation.,961
72,36,AI Infrastructure Investments and Regulatory Reforms,OpenAI,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"AI infrastructure investment strategy is relevant and actionable, but proposal is broad and somewhat self-serving.",1311
73,37,Champion market-driven technical standards internationally,Google,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Championing market-driven technical standards is relevant, but proposal is industry-centric and lacks enforcement mechanisms.",1360
74,38,Strategic AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),5.875,6.0,6.0,5.5,6.0,"Strategic AI research program is actionable and relevant, but scale and implementation details are ambitious and somewhat vague.",1304
75,37,Strategic AI Economic Zones,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Strategic AI Economic Zones are actionable and support national security, but implementation is complex and risks being a corporate subsidy.",506
76,39,Mission-Critical AI Applications,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Mission-critical AI applications are actionable and measurable, but the proposal is broad and risks being a tech vendor wish list.",1024
77,39,Provide Access to High-Performance Compute Power,Wahba Institute for Strategic Competition,Think Tank,5.75,6.0,5.5,5.5,6.0,"Access to high-performance compute power is relevant, but proposal is broad and lacks specific implementation mechanisms.",1621
78,38,Next-Generation Computing Research,Alvarez & Marshall Federal LLC,Industry (Other),5.65,6.0,5.5,5.5,5.5,Next-generation computing research is relevant to IAPS priorities but is broad and risks being a moonshot with uncertain ROI.,659
79,40,Strengthen AI workforce development through apprenticeships,Center for Security and Emerging Technology,Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI workforce apprenticeships are actionable and politically viable, but not directly aligned with IAPS's strategic priorities.",1106
80,41,Long-Term AI Research Funding,Alvarez & Marshall Federal LLC,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Long-term AI research funding is actionable, but the 'Manhattan Project for AGI' is speculative and lacks implementation realism.",1260
81,42,Develop Manufacturing Process AI Situational Awareness,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI situational awareness for manufacturing is actionable and relevant, but sector-specific and not a core IAPS focus.",1934
82,40,Create a National Data Trust Framework,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,National data trust framework is relevant to IAPS's data governance focus. Somewhat generic and lacks detail on enforcement.,833
83,41,Promote the Adoption of Privacy-Preserving Techniques,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,Promoting privacy-preserving techniques is relevant but broad and lacks specificity on implementation or enforcement.,874
84,42,Support Data-Centric AI Research,HPE,Industry (Other),5.375,5.5,5.5,5.0,5.5,Data-centric AI research is a valid focus but is more academic and lacks concrete policy mechanisms.,859
85,43,Leverage existing risk-based cybersecurity standards,Microsoft,Frontier Developer,5.375,5.5,5.5,5.0,5.5,"Leveraging existing risk-based cybersecurity standards is sensible, but the proposal is generic and risks being a deregulatory wish list.",366
86,44,Streamline AI cybersecurity regulations,Microsoft,Frontier Developer,5.375,5.5,5.5,5.0,5.5,Streamlining AI cybersecurity regulation is relevant but lacks detail and risks being a corporate deregulatory push.,218
87,43,Incentivize Public-Private Partnerships for AI Development,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.3500000000000005,5.5,5.0,5.0,6.0,Public-private partnerships for AI development are actionable but generic and lack specificity.,1382
88,44,Enhance Small Business AI Support,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,Small business AI support is actionable but generic and not directly aligned with IAPS's strategic priorities.,1467
89,45,Automate Spectrum Licensing with AI,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,Automating spectrum licensing with AI is actionable but sector-specific and not a core IAPS concern.,1984
90,46,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,AI procurement reform for smaller vendors is actionable but largely a market access issue.,1924
91,45,Spearhead Public/Private Collaboration,INCOMPAS,Industry Association,5.25,5.5,5.0,5.0,5.5,Spearheading public/private collaboration is a vague aspiration with little concrete policy content.,953
92,47,Address AI Impact on Children,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI impact on children is a real concern but proposal is vague and lacks enforcement or implementation details.,1161
93,48,Support ongoing AI education campaigns for schools,Microsoft,Frontier Developer,5.2,5.0,5.0,5.0,6.0,Ongoing AI education campaigns are actionable but not directly aligned with IAPS's strategic focus.,1888
94,49,Support Large-Scale AI Pilot Projects,"CGI Federal, Inc.",Industry (Other),5.2,5.0,5.0,5.0,6.0,Funding large-scale AI pilot projects is actionable but lacks detail and is not a core IAPS priority.,1951
95,50,Expand RoboticsCareer.org,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.2,5.0,5.0,5.0,6.0,Expanding RoboticsCareer.org is actionable but sector-specific and not a core IAPS concern.,1473
96,51,Mitigate AI's Impact on Employment,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI workforce training and job transition is actionable but generic and not directly aligned with IAPS priorities.,1916
97,46,Support development of data annotation standards,Microsoft,Frontier Developer,5.1,5.0,5.0,5.0,5.5,Data annotation standards are relevant but the proposal is generic and self-serving (Microsoft).,69
98,52,Create Lifelong Learning and Upskilling Tax Incentives,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.05,4.5,5.0,5.0,6.0,Tax incentives for upskilling are actionable but generic and not a core IAPS focus.,1590
99,53,Enforce robust data safeguards in the AI lifecycle,Bipartisan Policy Center,Think Tank,5.05,4.5,5.0,5.0,6.0,Data safeguards in AI lifecycle are important but proposal is vague and lacks implementation specifics.,1982
100,47,Establish Data and Model Governance Framework,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Data and model governance framework is a generic aspiration with little detail on enforcement or implementation.,387
101,48,Adopt Flexible AI Regulations,HPE,Industry (Other),4.875,5.0,5.0,4.5,5.0,Flexible AI regulations is a generic industry wish list with little actionable content.,263
102,49,Develop a federal privacy framework tailored to AI systems,Bipartisan Policy Center,Think Tank,4.875,5.0,5.0,4.5,5.0,"Federal privacy framework tailored to AI is a valid goal but is broad, lacks specifics, and is politically challenging.",77
103,50,Prioritize AI for Cybersecurity,Information Technology Industry Council,Industry Association,4.875,5.0,5.0,4.5,5.0,Prioritizing AI for cybersecurity is a broad aspiration with little concrete policy content.,384
104,54,Invest in AI for Economic Competitiveness,Wahba Institute for Strategic Competition,Think Tank,4.8,4.5,4.5,4.5,6.0,Investing in AI for economic competitiveness is broad and lacks actionable mechanisms.,1080
105,55,Modernize the Electrical Grid,INCOMPAS,Industry Association,4.8,4.5,4.5,4.5,6.0,Grid modernization is important but proposal is generic and lacks actionable detail.,1766
106,56,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),4.8,4.5,4.5,4.5,6.0,Supporting innovations to decrease AI infrastructure costs is vague and lacks specifics.,1752
107,57,Develop AI Technology Roadmap for Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.8,4.5,4.5,4.5,6.0,AI roadmap for manufacturing is sector-specific and not a core IAPS concern.,1356
108,51,Encourage Diverse AI Technology Landscape,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Encouraging a diverse AI technology landscape is a generic industry wish list with little actionable content.,241
109,52,Create an Enabling Environment for AI Adoption,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Creating an enabling environment for AI adoption is broad and lacks concrete mechanisms.,248
110,53,Support Nuclear Energy Development,INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Support for nuclear energy is tangential to IAPS's AI governance priorities and is a generic industry push.,203
111,54,Negotiate International Trade Agreements for AI,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,International trade agreements for AI are broad and lack actionable detail. Mostly an industry wish list.,816
112,55,Create a National Repository for Open-Source AI Software and Datasets,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,"National repository for open-source AI is broad, lacks detail, and risks duplicating existing efforts.",112
113,56,Invest in Protection Against AI Model Tampering,HPE,Industry (Other),4.6,4.5,4.5,4.5,5.0,Investing in protection against AI model tampering is relevant but lacks detail and is mostly an industry ask.,79
114,57,Develop and Enforce Data Privacy and Security Regulations,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,Developing and enforcing data privacy and security regulations is broad and lacks actionable detail.,161
115,58,Address AI's Impact on Mental and Social Health,Wahba Institute for Strategic Competition,Think Tank,4.4,4.0,4.0,4.0,6.0,AI's impact on mental health is a real issue but proposal is vague and lacks implementation details.,1445
116,58,Invest in Power and Energy Management Software,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in power and energy management software is a narrow, self-serving industry ask.",268
117,59,Invest in Modular Data Centers,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in modular data centers is a narrow, self-serving industry ask.",375
118,60,Develop Models with Intuitive Explanations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Developing models with intuitive explanations is vague, lacks implementation detail, and is mostly academic.",5
119,61,Foster Cross-Sector Partnerships for Explainability Research,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Fostering cross-sector partnerships for explainability research is a vague academic aspiration.,238
120,62,Promote International AI Research Collaborations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Promoting international AI research collaborations is a vague aspiration with no actionable detail.,465
121,59,Ensure AI Fairness & Prevent Discrimination,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,"Industry-led initiatives for AI fairness are vague, self-serving, and lack enforcement.",1083
122,60,Combat AI-Powered Disinformation While Preserving Free Speech,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Voluntary content labeling for disinformation is vague and lacks enforcement.,1844
123,61,Strengthen AI Transparent Government Use,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Transparent government AI use is a vague aspiration with no concrete mechanisms.,1433
124,62,Establish Guidelines for the Use of AI in Military Contexts,"CGI Federal, Inc.",Industry (Other),4.0,3.5,3.5,3.5,6.0,Guidelines for military AI use are important but proposal is vague and lacks enforcement.,1734
125,63,Develop Coordinated Technology Development Strategy,INCOMPAS,Industry Association,4.0,3.5,3.5,3.5,6.0,Coordinated technology development strategy is vague and lacks actionable mechanisms.,1462
126,64,Use AI to Reduce Regulatory Barriers for Small ISPs,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,AI to reduce regulatory barriers for small ISPs is sector-specific and not a core IAPS concern.,1118
